# Generated Letter Puzzle Variations - FULLY SCRAMBLED
# Format: FEATURED_LETTER|ANSWER|AVAILABLE_LETTERS

# Puzzle 1: 12 words with 'S'
# Examples: DUSTY, LUSTY, SEEDY, SHEET, SLEET
S|STYLE|L,S,U,H,T,E,W,Y,W,H,E,D

# Puzzle 2: 11 words with 'M'
# Examples: AMISS, BIOME, DOGMA, IMAGE, MAMBO
M|MAMBO|B,S,G,I,B,M,M,A,S,E,O,D

# Puzzle 3: 2 words with 'D'
# Examples: ADOPT, WIDOW
D|WIDOW|D,A,I,T,W,G,O,P,W,W,O,B

# Puzzle 4: 7 words with 'H'
# Examples: COUGH, OUGHT, PATCH, POUCH, TOUCH
H|TOUGH|H,O,P,T,G,W,U,U,A,A,U,C

# Puzzle 5: 6 words with 'A'
# Examples: CAGEY, CAMEO, COCOA, FOAMY, MECCA
A|CAMEO|G,E,O,M,O,Y,C,W,A,C,F,Y

# Puzzle 6: 19 words with 'K'
# Examples: ALIKE, ANKLE, AWAKE, AWOKE, CLANK
K|ANKLE|E,W,I,A,A,N,Y,L,K,C,T,O

# Puzzle 7: 3 words with 'I'
# Examples: BRINY, INCUR, PUBIC
I|PUBIC|C,P,P,R,B,Y,N,I,I,P,U,B

# Puzzle 8: 7 words with 'S'
# Examples: BASIL, BASIN, SLAIN, SLIMY, SNAIL
S|SNAIL|M,F,S,L,B,F,Y,N,N,R,I,A

# Puzzle 9: 10 words with 'N'
# Examples: INCUR, NICER, NIECE, PENCE, PREEN
N|QUEEN|N,I,U,E,Q,R,C,P,I,R,R,E

# Puzzle 10: 21 words with 'O'
# Examples: DEPOT, DONUT, DOWEL, ENDOW, GOUGE
O|GUSTO|G,N,S,O,E,W,U,G,D,L,P,T

# Puzzle 11: 7 words with 'Y'
# Examples: CORNY, CRONY, DUCHY, GOODY, HORNY
Y|HORNY|C,R,U,O,G,H,U,N,H,Y,D,O

# Puzzle 12: 19 words with 'R'
# Examples: ABORT, BARON, BRUNT, BURNT, FORUM
R|TUMOR|F,A,U,B,O,G,T,M,M,G,R,N

# Puzzle 13: 66 words with 'E'
# Examples: AGENT, AGREE, ANGER, CAPER, CASTE
E|GREEN|C,N,T,E,E,A,G,S,T,N,P,R

# Puzzle 14: 8 words with 'U'
# Examples: GULLY, MINUS, MUSHY, SLUNG, SUING
U|SLUNG|L,M,L,I,N,U,S,N,G,Y,H,L

# Puzzle 15: 26 words with 'E'
# Examples: CORER, COVEN, COVER, COWER, CRIER
E|VENOM|F,V,M,C,R,E,I,M,N,W,O,R

# Puzzle 16: 18 words with 'M'
# Examples: ARMOR, CAMEO, CHAMP, CHARM, COMMA
M|MACRO|E,R,H,O,M,R,P,C,C,M,D,A

# Puzzle 17: 5 words with 'Y'
# Examples: BELLY, BILLY, LEGGY, SILLY, STYLE
Y|BELLY|G,E,L,G,I,T,B,B,B,Y,S,L

# Puzzle 18: 2 words with 'J'
# Examples: JUMBO, JUROR
J|JUMBO|M,J,D,G,O,W,R,U,W,T,R,B

# Puzzle 19: 5 words with 'D'
# Examples: DOLLY, DROLL, DULLY, GODLY, GOURD
D|DOLLY|L,Y,R,F,O,T,U,G,U,D,L,U

# Puzzle 20: 8 words with 'I'
# Examples: BRAIN, BRIAR, BROIL, FINAL, FLAIR
I|FINAL|B,R,R,O,F,N,F,R,A,F,L,I

# Puzzle 21: 20 words with 'R'
# Examples: BROOM, METRO, MOTOR, OMBRE, OTTER
R|SPERM|O,E,M,S,P,B,T,O,S,P,R,T

# Puzzle 22: 23 words with 'A'
# Examples: ARTSY, OVARY, RATTY, ROAST, ROYAL
A|VAULT|Y,T,V,T,U,O,O,A,S,W,R,L

# Puzzle 23: 13 words with 'P'
# Examples: APPLY, CLASP, HAPPY, HARPY, PADDY
P|SCALP|D,A,C,P,P,W,H,S,Y,D,R,L

# Puzzle 24: 39 words with 'L'
# Examples: CLASH, CLEAT, CLOSE, CLOTH, CLOVE
L|CLOVE|E,O,S,A,H,C,V,C,T,L,A,E

# Puzzle 25: 6 words with 'K'
# Examples: ABACK, CHUCK, CRACK, WACKY, WHACK
K|CRACK|B,R,Y,U,D,W,A,H,C,K,A,C

# Puzzle 26: 12 words with 'B'
# Examples: BILLY, BIRTH, BITTY, BLURT, BLUSH
B|BILLY|T,L,R,H,I,U,F,T,Y,B,L,S

# Puzzle 27: 5 words with 'Y'
# Examples: DUMMY, DUMPY, FURRY, MARRY, PARRY
Y|DUMMY|R,F,U,M,P,D,M,R,W,W,A,Y

# Puzzle 28: 25 words with 'G'
# Examples: AGLOW, ARGUE, BAGEL, BARGE, BEGAT
G|GRUEL|L,O,G,B,U,W,E,A,C,R,F,T

# Puzzle 29: 44 words with 'N'
# Examples: ALIGN, ALONG, ANGST, BASIN, BATON
N|SALON|B,U,O,I,F,T,O,L,A,N,G,S

# Puzzle 30: 4 words with 'H'
# Examples: AHEAD, ALPHA, HAPPY, HEADY
H|HAPPY|A,Y,E,E,P,Y,L,P,A,H,L,D

# Puzzle 31: 12 words with 'I'
# Examples: HILLY, HIPPY, LITHE, PIETY, PITHY
I|TULIP|E,L,L,A,I,H,Y,P,P,U,W,T

# Puzzle 32: 44 words with 'E'
# Examples: BEECH, BELCH, BELIE, BENCH, BICEP
E|CREPE|C,R,N,E,I,B,L,P,E,D,H,P

# Puzzle 33: 64 words with 'R'
# Examples: ACRID, AIDER, ALERT, ALTER, ARISE
R|LATER|E,T,E,R,D,I,C,L,N,S,A,N

# Puzzle 34: 12 words with 'G'
# Examples: EIGHT, EYING, GOING, GOOEY, HINGE
G|THONG|T,T,Y,G,G,I,E,H,C,O,O,N

# Puzzle 35: 39 words with 'U'
# Examples: BEGUN, BLUER, BLUNT, BLURT, BRUNT
U|DEBUT|N,U,F,R,B,G,T,L,C,D,E,M

# Puzzle 36: 33 words with 'A'
# Examples: ARISE, BAKER, BARGE, BRAKE, BRASH
A|KHAKI|K,K,I,A,E,S,B,P,Y,R,H,G

# Puzzle 37: 21 words with 'R'
# Examples: AGREE, DRAPE, DREAD, DREAM, DRESS
R|PARSE|D,A,S,G,E,P,M,D,R,E,D,S

